Douglas Scientific
Date -20230207-
User
Something else


dye,FAM,
<>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
B,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
C,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,50000,1000,
D,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
E,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
F,1000,1000,1000,1000,60294,1000,61294,1000,64294,1000,63294,1000,66294,1000,1000,1000,70294,1000,1000,1000,1000,1000,1000,1000,
G,1000,1000,1000,50000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
H,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
I,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
J,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
K,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
L,1000,1000,1000,1000,1000,1000,50000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
M,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
N,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
O,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,50000,50000,1000,1000,50000,50000,
P,1000,1000,1000,1000,1000,1000,50000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,50000,1000,1000,1000,50000,1000,

Dye,VIC,
<>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,3996,4077,4202,4191,4087,4172,4337,4248,4404,4302,4444,4506,4480,4669,4542,4517,4601,4549,4753,4768,4962,5006,4824,4859,
B,3837,3931,4199,4135,4128,4167,4447,4416,4297,4503,4478,4605,4587,4811,4606,4615,4725,4584,4714,4652,4882,4962,4836,5022,
C,4197,4147,4044,4294,4055,4233,4343,4465,4295,4451,4652,4488,4515,4517,4453,4703,4686,4804,4918,4667,4917,4923,4896,4883,
D,4030,4256,3963,4398,4253,4365,4311,4438,4416,4519,4676,4541,4540,4574,4586,4752,4678,4793,4859,4868,4831,4973,4995,5016,
E,4296,4187,4297,4183,4444,4345,4368,4413,4511,4577,4476,4546,4514,4640,4700,4735,4848,4828,4956,4880,4935,4933,5062,5006,
F,4232,4321,4350,4269,4396,4287,4656,4502,4511,4590,4588,4480,4695,4781,4764,5004,4854,4946,4971,4986,4937,4995,5154,5080,
G,4205,4311,4281,4201,4309,4404,4627,4475,4510,4672,4611,4732,4639,4779,4834,4781,4720,4824,4922,4932,4848,5156,5085,5194,
H,4164,4416,4462,4457,4350,4487,4415,4670,4703,4600,4587,4724,4693,4926,4813,4911,4866,4851,4982,4856,4987,5065,5213,5267,
I,4366,4273,4463,4402,4573,4334,4725,4577,4529,4648,4724,4749,4877,4948,4933,5042,4927,5033,4928,5108,5121,5210,5340,5314,
J,4457,4442,4465,4572,4323,4556,4580,4622,4554,4788,4713,4751,4938,4987,4796,5121,5042,5053,5113,5126,5134,5266,5238,5194,
K,4271,4368,4549,4629,4440,4621,4556,4812,4659,4747,4724,4837,4948,4941,4863,4988,5022,5036,5114,5196,5241,5131,5266,5338,
L,4556,4460,4519,4625,4580,4494,4717,4904,4770,4854,4813,4863,4861,4927,5046,4899,4980,5200,5206,5190,5208,5310,5287,5319,
M,4430,4471,4618,4494,4495,4703,4741,4823,4694,4877,4956,5013,4882,4830,5235,5119,5180,5250,5376,5241,5359,5510,5413,5317,
N,4415,4576,4561,4590,4594,4650,4658,4827,4867,4924,4903,4928,5057,5029,5074,5166,5213,5165,5201,5245,5376,5317,5322,5350,
O,4627,4642,4612,4606,4710,4662,4811,4775,4849,4874,4918,5143,5072,5022,5122,5214,5137,5188,100,100,5333,5372,5536,5364,
P,4535,4571,4637,4722,4819,4895,4813,4944,5052,4843,5003,5044,4933,5249,5120,5178,5166,5269,100,100,5435,5361,5363,5370,

dye,ROX,
<>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,7016,7044,7136,7080,7170,7149,7224,7371,7473,7282,7405,7453,7407,7492,7632,7635,7691,7691,7574,7802,7836,7850,7905,8017,
B,7017,7073,7156,7198,7113,7224,7381,7300,7463,7334,7653,7475,7476,7603,7700,7665,7714,7670,7737,7896,7791,7904,7917,8016,
C,7157,7167,7193,7099,7279,7316,7250,7348,7442,7419,7340,7565,7634,7654,7617,7542,7659,7626,7857,7859,7886,7978,8043,7978,
D,6944,7260,7259,7289,7205,7333,7362,7275,7425,7400,7545,7538,7660,7556,7647,7713,7748,7795,7874,7825,7794,8044,8026,8007,
E,7134,7095,7224,7317,7386,7256,7537,7507,7448,7498,7494,7639,7605,7714,7691,7801,7846,7924,7937,7948,8053,8019,7886,8166,
F,7145,7135,7314,7309,7369,7396,7471,7449,7603,7577,7651,7656,7708,7651,7863,7766,7904,7938,7875,7978,8152,7954,8175,8099,
G,7025,7129,7352,7458,7390,7576,7314,7500,7491,7650,7660,7593,7588,7794,7916,7914,7869,7809,7994,7974,8147,8108,7961,8228,
H,7193,7351,7337,7580,7478,7479,7482,7389,7607,7757,7561,7641,7808,7869,7887,7913,7754,8008,7950,7914,8183,8135,8253,8115,
I,7232,7336,7267,7358,7444,7626,7580,7562,7531,7678,7501,7830,7791,7737,7928,7977,7902,7933,8093,8067,8224,8136,8074,8290,
J,7209,7342,7267,7455,7638,7492,7521,7676,7615,7727,7728,7857,7842,7896,7961,8006,7949,7994,8096,8064,8262,8235,8431,8150,
K,7353,7344,7541,7459,7552,7633,7660,7681,7754,7839,7778,7668,7859,7769,8012,8014,8151,8034,8112,8158,8174,8128,8252,8338,
L,7428,7515,7494,7702,7732,7726,7656,7678,7784,7765,7817,7896,7923,7931,7970,8201,8048,8002,8165,8359,8235,8314,8501,8329,
M,7560,7420,7636,7663,7732,7620,7538,7772,7643,7903,7881,8076,7856,7779,7943,8081,8132,8087,8043,8238,8310,8216,8421,8258,
N,7624,7555,7543,7675,7644,7779,7701,7772,7851,8010,8028,8002,8064,7958,7999,8119,8291,8253,8225,8185,8258,8436,8399,8513,
